age,allowedregion,contact,degree,education,educationtype,examtype,experience,gradebenifit,introduction,level,major,others,party,position,race,recruit,region,sex,site,specialposition,system,workplace
35周岁以下,本省,黄先生0591—88016751,学士或以上学位,本科及以上,不限,A类,两年基层工作经历,否,从事宣传报道工作,省级,哲学、文学、历史学大类；经济学、管理学大类；法学大类；教育学大类。,（备注）单位性别比失衡。,不限,01 办公室科员,不限,1,省直,男,福州市,否,民主党派和工商联机关,00024 中国民主同盟福建省委员会
30周岁以下,本省,0591-87073316杨,硕士或以上学位,研究生及以上,全日制普通高等院校,A类,不限,否,从事人民法院审判辅助等有关工作,县级,法学类专业[不含公共事业管理（医事法律方向）],通过全国统一司法考试,不限,01 法官助理（科员级）,不限,1,福州,不限,鼓楼区,否,审判机关,00116 福建省福州市鼓楼区人民法院
35周岁以下,本省,,学士或以上学位,本科及以上,全日制普通高等院校,A类,不限,否,从事人民法院财务工作,县级,会计（学）、财务管理、财务会计(教育)、国际会计、会计（财务）电算化、注册会计师、会计与统计核算、财务信息管理、工业（企业）会计、会计电算化、会计与审计专业,0591-87073316杨,不限,02 财务科员,不限,1,福州,不限,鼓楼区,否,审判机关,00116 福建省福州市鼓楼区人民法院
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,01 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00170 福州市鼓楼区五凤街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,01 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00171 福州市鼓楼区南街街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,01 科员,不限,1,福州,男,鼓楼区,否,党的机关,00172 福州市鼓楼区鼓西街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,女,鼓楼区,否,党的机关,00172 福州市鼓楼区鼓西街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,土建类,最低服务年限五年,不限,01 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00173 福州市鼓楼区水部街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,02 科员,不限,1,福州,不限,鼓楼区,否,党的机关,00173 福州市鼓楼区水部街道办事处
35周岁以下,本省,0591-87663848许,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事基层一线工作,乡镇（街道）,不限,最低服务年限五年,不限,01 科员,不限,1,福州,男,鼓楼区,否,党的机关,00174 福州市鼓楼区安泰街道办事处
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事水利、住建等项目工程建设工作,乡镇（街道）,水利类、土建类、测绘类,最低服务年限五年,不限,01 党政办科员,不限,1,福州,不限,闽清县,否,党的机关,00782 闽清县桔林乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事日常会计核算与监督、会计账务处理等财务工作,乡镇（街道）,会计与审计类、财政金融类,最低服务年限五年,不限,02 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00782 闽清县桔林乡人民政府
35周岁以下,本省,0591-62062135李,学士或以上学位,本科及以上,不限,A类(乡镇),不限,否,从事住建、水利等项目工程建设工作,乡镇（街道）,经济贸易类、工商管理类,最低服务年限五年,不限,01 经济发展办科员,不限,1,福州,不限,闽清县,否,党的机关,00783 闽清县东桥镇人民政府
